statsbomb_player_id,player_name,assigned_role,dominant_role,dominant_role_share,lineup_role_minutes,position_examples,season_minutes,threshold_minutes,eligible_for_initial_coefficients,experiment_008_status
313284,Achraf Harmach,MID,MID,1.0,93.61667,Center Attacking Midfield,1416.0166,900.0,True,available_population_recomputed_or_reused_from_role_resolution
5692,Juan Fernando Quintero Paniagua,UNKNOWN,UNKNOWN,0.0,0.0,Center Attacking Midfield,,,False,available_population_recomputed_or_reused_from_role_resolution
6333,Miguel Ángel Borja Hernández,UNKNOWN,UNKNOWN,0.0,0.0,Left Center Forward,,,False,available_population_recomputed_or_reused_from_role_resolution
138998,Abdellah Khafifi,CB,CB,1.0,102.96667,Left Center Back,1950.3999,900.0,True,available_population_recomputed_or_reused_from_role_resolution
138841,Salaheddine Chihab,GK,GK,1.0,112.46667,Goalkeeper,2015.4667,600.0,True,available_population_recomputed_or_reused_from_role_resolution
138839,Driss Abdi,CB,CB,1.0,14.4,Left Center Back,63.916664,900.0,False,available_population_recomputed_or_reused_from_role_resolution
141808,Charki El Bahri,CF,CF,1.0,142.91666,Center Forward,463.7333,750.0,False,available_population_recomputed_or_reused_from_role_resolution
139560,Hamza El Moussaoui,FB,FB,0.8980807536072257,199.566664,Left Back; Left Midfield,1272.2667,900.0,True,available_population_recomputed_or_reused_from_role_resolution
29391,Nassim Ouammou,FB,FB,1.0,104.95,Left Back,868.9167,900.0,False,available_population_recomputed_or_reused_from_role_resolution
8817,Jhon Andrés Córdoba Copete,CF,CF,1.0,89.98333,Right Center Forward,,750.0,False,available_population_recomputed_or_reused_from_role_resolution
360406,Imad Khannouss,CF,CF,0.7255686784599376,96.1,Center Forward; Right Wing,823.43335,750.0,True,available_population_recomputed_or_reused_from_role_resolution
360406,Imad Khannouss,CF,CF,0.7255686784599376,96.1,Center Forward; Right Wing,706.86664,750.0,False,available_population_recomputed_or_reused_from_role_resolution
126527,Kabelo Seakanyeng,WINGER,WINGER,0.8634598415979544,106.583336,Right Wing; Center Forward,340.55002,750.0,False,available_population_recomputed_or_reused_from_role_resolution
138999,Marouane Lemzaouri,FB,FB,1.0,96.1,Right Back,523.85,900.0,False,available_population_recomputed_or_reused_from_role_resolution
477684,Brahim Amzili,CF,CF,1.0,81.96667,Center Forward,1496.7002,750.0,True,available_population_recomputed_or_reused_from_role_resolution
314450,Anass Lamrabat,MULTI_ROLE,FB,0.6595911869236822,193.96667,Left Wing Back; Left Center Back; Left Midfield,1482.4332,,False,available_population_recomputed_or_reused_from_role_resolution
194912,Faouzi Abd El Mouttalib,MID,MID,0.7557439467581876,193.06667,Right Defensive Midfield; Left Defensive Midfield; Right Midfield,1603.85,900.0,True,available_population_recomputed_or_reused_from_role_resolution
64615,Thembinkosi Lorch,WINGER,WINGER,1.0,42.766666,Left Wing,462.61667,750.0,False,available_population_recomputed_or_reused_from_role_resolution
143162,Mehdi Maftah,GK,GK,1.0,199.566664,Goalkeeper,402.21664,600.0,False,available_population_recomputed_or_reused_from_role_resolution
140886,Mustapha Sahd,CF,CF,1.0,24.183332,Center Forward,886.8334,750.0,True,available_population_recomputed_or_reused_from_role_resolution
442288,Adnane Berdad,MID,MID,1.0,96.1,Left Defensive Midfield; Right Defensive Midfield,1615.9169,900.0,True,available_population_recomputed_or_reused_from_role_resolution
27473,Deiver Andrés Machado Mena,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
67700,Badr Banoun,CB,CB,1.0,102.96667,Right Center Back,1769.8834,900.0,True,available_population_recomputed_or_reused_from_role_resolution
477677,Yassine Boughaz,FB,FB,1.0,96.683334,Right Back,361.46664,900.0,False,available_population_recomputed_or_reused_from_role_resolution
380600,Mouad Goulouss,MID,MID,1.0,72.13333,Center Attacking Midfield,445.91666,900.0,False,available_population_recomputed_or_reused_from_role_resolution
