role,player_id,player_name,score,confidence_index,confidence_level,confidence_interval_low,confidence_interval_high,weight_stability,bootstrap_stability,sample_quality,minutes_reliability,population_size,data_quality,overall_reliability,experiment_008_status
WINGER,275341,Yazid Faffa,30.833131349410536,67.94937389347777,medium,9.952829225090984,55.56025832820193,90,54.392570896889055,75,91.83982222222222,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,312935,Amine Azri,59.57944401089387,57.26221278689117,low,35.733298389626526,85.78816874965158,90,49.94512963997495,75,46.18703888888889,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,3302,Nordin Amrabat,62.59629076286974,63.47731377671078,medium,35.887952350091965,80.3303627392038,90,55.55758961088816,75,67.44073888888889,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,34952,Soufyan Ahannach,56.50789076916887,75.99444487841889,medium,46.47859227784837,68.95406618588942,90,77.52452609195895,75,91.58425555555554,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,358748,Abdellah Ait Brahim,29.68359706457852,71.63270601510243,medium,17.548560290957035,43.84699603069593,90,73.70156426026111,75,76.46574444444444,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,381935,Ismail Mihrab,55.274155640311264,62.3027563566219,medium,32.717261303372574,75.18433416257966,90,57.532927140792914,75,58.11111111111112,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,409131,Abdellatif Benkassou,32.41131937107926,62.26259733336936,medium,16.002570799187044,52.94311070895693,90,63.05946009023012,75,48.23888333333333,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,435547,Abdallah Ziani,43.40772667675903,66.65792822471067,medium,21.836750770903613,71.68322464192053,90,50.15352612898308,75,92.80092222222224,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,449373,Marouane Oujeddou,48.74128448426231,72.14865510789338,medium,33.526485479705,62.97670476385072,90,70.54978071585428,75,84.5611111111111,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,460266,Youness Dahmani,58.77359688234873,75.15209241821121,medium,43.50604467862891,73.19723672694587,90,70.30880795168304,75,100.0,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,477555,Adam Brika,45.88817185331104,73.64839458583901,medium,36.86633266283361,56.55327724808701,90,80.3130554147466,80,71.22407777777778,25,80,Adequate,not_recomputed_full_population_unavailable
WINGER,523312,Brahim Mansouri,52.985192556984906,69.31029450379583,medium,33.846468403826684,73.48935925523521,90,60.35710914859147,75,88.20648333333332,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,7550,Mounir Chouiar,65.90224149512333,76.2556755188893,medium,50.90752517254866,77.44562264749966,90,73.461902525049,75,100.0,25,75,Adequate,not_recomputed_full_population_unavailable
