score_a,score_b,pearson,spearman,distance_correlation
GK_GK_D3,WINGER_WINGER_D5,,,
GK_GK_D3,WINGER_WINGER_D6,,,
MID_MID_D1,MID_MID_D2,0.6211555587956963,0.6099722066576789,0.6018155145952564
MID_MID_D1,MID_MID_D4,0.531570324462808,0.5260504201680672,0.5290658873635998
MID_MID_D1,MID_MID_D5,0.35081707415343283,0.3304812834224599,0.48155157560894657
MID_MID_D1,MID_MID_D6,-0.40113321511537936,-0.35920550038197097,0.4341257539778298
MID_MID_D1,MID_MID_D7,-0.04552916041319296,-0.04232238349885409,0.20536410109214223
MID_MID_D1,WINGER_WINGER_D1,,,
MID_MID_D1,WINGER_WINGER_D2,,,
MID_MID_D1,WINGER_WINGER_D3,,,
MID_MID_D1,WINGER_WINGER_D4,,,
MID_MID_D1,WINGER_WINGER_D5,,,
MID_MID_D1,WINGER_WINGER_D6,,,
MID_MID_D2,MID_MID_D4,0.21034454214588325,0.19545720670360317,0.27837572487180284
MID_MID_D2,MID_MID_D5,0.2512277489750817,0.24440070497865451,0.35787288472468143
MID_MID_D2,MID_MID_D6,-0.24720999953412393,-0.2374314042534045,0.28228060097511143
MID_MID_D2,MID_MID_D7,-0.1097649249578954,-0.11467667557002326,0.2242442482108402
