role,player_id,player_name,score,bootstrap_mean,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high,score_variance,bootstrap_samples,experiment_008_status
CB,442093,Yassine Fatine,31.604164816877105,30.726580568868048,8.465050923660604,15.40383814095169,47.982541549122885,71.65708714016725,300,not_recomputed_full_population_unavailable
CB,477678,Cheick Keita,48.06390819689062,48.07607598113927,9.416464139793042,28.20871919712563,67.22143765215424,88.66979689600834,300,not_recomputed_full_population_unavailable
CB,49760,Adil Rhaili,57.4892418344554,57.437130914944525,9.734433615693227,38.66860564406053,77.01462432054124,94.75919781833836,300,not_recomputed_full_population_unavailable
CB,523290,Achraf Zine,50.16834912306648,50.3041255935663,6.4803776909427055,37.3225364641225,62.76228296986055,41.99529501726792,300,not_recomputed_full_population_unavailable
CB,524512,Reda Ait Boughima,67.2078232699728,67.20245644284832,7.160849803799673,52.893578344170926,80.4035607495153,51.27776991257782,300,not_recomputed_full_population_unavailable
CB,67700,Badr Banoun,58.10544095607193,58.27703837260994,7.140543163028777,44.97830567274417,72.31608580692749,50.987356663077016,300,not_recomputed_full_population_unavailable
CB,7378,Yunis Abdelhamid,47.64963119461793,48.1827733962999,12.898075440666116,22.408319991703475,71.95860016248115,166.3603500731144,300,not_recomputed_full_population_unavailable
FB,135851,Augusto de Jesus Corte Real Carneiro,48.893941350310406,49.68637327130925,9.935231129255913,28.448000881839715,68.32489709650062,98.70881759173572,300,not_recomputed_full_population_unavailable
FB,138910,Jamal Ech-Chammakh,76.02197127468717,76.71542156474673,6.86681472177421,63.598002735189205,89.13572290417125,47.15314442317501,300,not_recomputed_full_population_unavailable
FB,138927,Saad El Morsli,64.22657303802754,63.73484478695244,12.87162718943322,36.384672136174856,85.99288074694128,165.6787865037565,300,not_recomputed_full_population_unavailable
FB,138945,Mohamed Boulacsout,35.34227332760554,36.2825281742699,11.256118245502776,15.111200455390437,57.68706629176631,126.70019795674048,300,not_recomputed_full_population_unavailable
FB,138949,Ayoub Boucheta,54.33028768909539,55.05130221573785,10.268342163584816,33.79305004723791,73.65939171422608,105.43885078845368,300,not_recomputed_full_population_unavailable
FB,138956,Anas Bach,56.87353653867026,56.76969912534389,9.023159833533713,36.715962776950064,71.25796885178374,81.41741338149613,300,not_recomputed_full_population_unavailable
FB,139560,Hamza El Moussaoui,67.38879234613674,67.70414661709027,9.641967702942024,47.42760380389837,85.14627708349424,92.96754118457709,300,not_recomputed_full_population_unavailable
FB,140876,Mohamed Moufid,49.03019453170217,48.44308997165442,4.139691548556328,40.68213388044456,56.484195614211416,17.137046117188692,300,not_recomputed_full_population_unavailable
FB,142789,Oussama Soukhane,51.84902963564516,51.71192651794316,12.46618091774132,25.327066128389383,76.34196977438015,155.40566667385784,300,not_recomputed_full_population_unavailable
FB,152015,Zakaria Kiani,55.62682167678936,55.44584699734756,4.04692180749887,47.01228788526027,62.392818678092006,16.37757611600992,300,not_recomputed_full_population_unavailable
FB,178342,Ettayb Boukhriss,49.93994331832277,51.21220571975753,6.89279687302362,38.6165829793178,65.92151433641769,47.5106487327642,300,not_recomputed_full_population_unavailable
FB,261620,Nadir Lougmani,42.10707881510001,42.74208608403051,7.453861683312214,30.71504192787752,57.69238723787862,55.56005399394999,300,not_recomputed_full_population_unavailable
FB,313287,Redouane Ait Lemkadem,45.12588573811286,45.285466610125695,9.62407672905574,26.265978273587844,63.95612201451031,92.6228528867522,300,not_recomputed_full_population_unavailable
FB,314451,Houdaifa El Mahasni,47.647788343322745,47.18520025399419,6.086857631651576,36.77632529303742,59.743855545670726,37.04983582799503,300,not_recomputed_full_population_unavailable
FB,337496,Haytam Manaout,47.45234026977532,47.91598169794379,12.580088719127923,21.84026237300092,73.42880429015702,158.25863218112963,300,not_recomputed_full_population_unavailable
FB,339278,Chemseddine Knaidil,56.86376027080534,56.89740881289593,7.7900382236145935,42.89716318427874,73.19875524321138,60.68469552537641,300,not_recomputed_full_population_unavailable
FB,406864,Hamza Malki,38.053301196515775,38.51557598180344,12.80081648075342,16.434415589618563,65.79047978718549,163.8609025739284,300,not_recomputed_full_population_unavailable
FB,442100,Marouane Ouhrou,60.36154374480873,60.68247637417167,9.305298618618654,40.378391064149376,77.77186721440077,86.58858238166623,300,not_recomputed_full_population_unavailable
FB,442286,Oussama Daoui,53.23048769173641,53.1086969079389,9.03780089979799,32.74561019069348,68.21255889645258,81.68184510438934,300,not_recomputed_full_population_unavailable
FB,522352,Hamza Fassoukh,45.07853153108093,44.40739557909384,8.074662858976568,28.867978379972183,61.09527761958366,65.20018028613565,300,not_recomputed_full_population_unavailable
FB,523293,Nassim Azzoubairi,58.93028150812842,59.09187938034552,9.407534813761249,39.22311577236156,76.74798068345719,88.5017112721299,300,not_recomputed_full_population_unavailable
FB,523318,Younes El Khafi,34.554572962157785,33.849996723129564,6.006782692378438,22.9417774507004,45.60085391217599,36.08143831345716,300,not_recomputed_full_population_unavailable
FB,81364,Euclides da Silva Cabral,44.70233294772315,44.87968319537334,6.056975009406542,35.43056532845788,59.40607796140248,36.686946264575376,300,not_recomputed_full_population_unavailable
