role_family,metric,normalization_method,normalized_skewness,normalized_kurtosis,normalized_outlier_pct,normalization_quality_score
GK,p_pass_length,robust_z_score,0.3455295703332512,-0.7554352260537249,0.0,0.7232471833601137
GK,p_pass_length,percentile_rank,2.790663792933185e-16,-1.2000000000000002,0.0,0.6000000000000004
GK,p_pass_length,min_max,0.3455295703332513,-0.7554352260537249,0.0,0.7232471833601137
GK,p_pass_length,log_transform,-1.3480638287405509,2.3808345801462076,8.333333333333332,2.9551477854803214
GK,p_pass_length,quantile_transform,5.49364128877322e-11,3.677265602302522,16.666666666666664,2.671966134539531
GK,p_pass_length,winsorized_z_score,0.45316240601580143,-0.897411785109,0.0,0.9018682985703015
GK,pass_length,z_score,0.3151617316282662,0.5101772911501232,0.0,0.5702503772033278
GK,pass_length,robust_z_score,0.31516173162826605,0.5101772911501241,0.0,0.570250377203328
GK,pass_length,percentile_rank,2.511597413639866e-16,-1.2000000000000002,0.0,0.6000000000000003
GK,pass_length,min_max,0.3151617316282664,0.5101772911501232,0.0,0.570250377203328
GK,pass_length,log_transform,-1.511882020174817,1.6247035069340239,16.666666666666664,3.1575671069751623
GK,pass_length,quantile_transform,5.493642044021713e-11,3.677265602302522,16.666666666666664,2.671966134539531
GK,pass_length,winsorized_z_score,-0.19946008067107981,-0.3829346460895642,0.0,0.3909274037158619
CB,aerial_ratio,z_score,-0.691953850654937,0.9603072574206326,4.0,1.3721074793652532
CB,aerial_ratio,robust_z_score,-0.6919538506549371,0.9603072574206353,4.0,1.3721074793652546
CB,aerial_ratio,percentile_rank,-1.9707567415786182e-16,-1.2000000000000002,0.0,0.6000000000000003
CB,aerial_ratio,min_max,-0.6919538506549362,0.9603072574206308,4.0,1.3721074793652515
CB,aerial_ratio,log_transform,-0.9503866073796556,1.687183341085813,4.0,1.993978277922562
CB,aerial_ratio,quantile_transform,6.190115458518199e-11,5.487249497425395,8.0,3.1436247487745987
CB,aerial_ratio,winsorized_z_score,-0.07838093077643307,-0.9359839925856002,0.0,0.5463729270692331
CB,ball_recoveries_90,z_score,-0.14748408226012513,-0.5572875113292088,0.0,0.4261278379247295
CB,ball_recoveries_90,robust_z_score,-0.147484082260125,-0.5572875113292102,0.0,0.4261278379247301
CB,ball_recoveries_90,percentile_rank,-1.1085506671379726e-16,-1.2000000000000002,0.0,0.6000000000000002
CB,ball_recoveries_90,min_max,-0.14748408226012458,-0.5572875113292093,0.0,0.4261278379247292
CB,ball_recoveries_90,log_transform,-1.191897124092941,1.5288572198068016,4.0,2.1563257339963418
CB,ball_recoveries_90,quantile_transform,6.190222170836925e-11,5.487249497425395,8.0,3.1436247487745996
CB,ball_recoveries_90,winsorized_z_score,-0.1421319007343779,-0.9916678926258111,0.0,0.6379658470472834
CB,blocks_per_shot,z_score,-0.17859853678608767,-0.666358633091328,0.0,0.5117778533317516
CB,blocks_per_shot,robust_z_score,-0.1785985367860877,-0.6663586330913298,0.0,0.5117778533317526
CB,blocks_per_shot,percentile_rank,-2.8637558901064293e-16,-1.2000000000000002,0.0,0.6000000000000004
CB,blocks_per_shot,min_max,-0.17859853678608648,-0.6663586330913294,0.0,0.5117778533317512
CB,blocks_per_shot,log_transform,-0.21396210927594456,-0.6263535700611635,0.0,0.5271388943065263
CB,blocks_per_shot,quantile_transform,6.190134770443273e-11,5.487249497425395,8.0,3.1436247487745987
CB,blocks_per_shot,winsorized_z_score,0.03866790024992562,-1.1533244349367102,0.0,0.6153301177182807
CB,clearance_90,z_score,0.42748789282707067,-0.6194163105661548,0.0,0.737196048110148
CB,clearance_90,robust_z_score,0.4274878928270707,-0.6194163105661539,0.0,0.7371960481101476
CB,clearance_90,percentile_rank,-1.7552052229684566e-16,-1.2000000000000006,0.0,0.6000000000000005
CB,clearance_90,min_max,0.42748789282707045,-0.6194163105661548,0.0,0.7371960481101478
CB,clearance_90,log_transform,-0.2469790046348988,-1.1160284794419244,0.0,0.804993244355861
CB,clearance_90,quantile_transform,6.190036965961989e-11,5.487249497425362,8.0,3.143624748774581
CB,clearance_90,winsorized_z_score,0.23112023094607337,-1.127660901702419,0.0,0.7949506817972829
CB,interceptions_90,z_score,0.9670335115091484,0.7855137269087304,0.0,1.3597903749635136
CB,interceptions_90,robust_z_score,0.9670335115091488,0.7855137269087331,0.0,1.3597903749635154
CB,interceptions_90,percentile_rank,-1.9462185106654081e-16,-1.2000000000000006,0.0,0.6000000000000005
CB,interceptions_90,min_max,0.9670335115091484,0.7855137269087313,0.0,1.359790374963514
CB,interceptions_90,log_transform,0.45925827193421753,-0.21428084473778908,0.0,0.5663986943031121
CB,interceptions_90,quantile_transform,6.190100089772619e-11,5.487249497425394,8.0,3.143624748774598
CB,interceptions_90,winsorized_z_score,0.817386721178582,0.1826112909920674,0.0,0.9086923666746157
CB,obv_defensive_action_90,z_score,0.13306948167057014,0.4718012414963795,8.0,0.7689701024187598
CB,obv_defensive_action_90,robust_z_score,0.1330694816705701,0.47180124149637903,8.0,0.7689701024187596
CB,obv_defensive_action_90,percentile_rank,-1.9707567415786187e-16,-1.1999999999999993,0.0,0.5999999999999999
CB,obv_defensive_action_90,min_max,0.13306948167056928,0.4718012414963777,8.0,0.7689701024187582
CB,obv_defensive_action_90,log_transform,-0.05319931256445114,0.5238899704861173,8.0,0.7151442978075098
CB,obv_defensive_action_90,quantile_transform,6.190021443123867e-11,5.487249497425401,8.0,3.1436247487746005
CB,obv_defensive_action_90,winsorized_z_score,0.08904772591260476,-0.21114420745276874,0.0,0.19461982963898913
CB,obv_pass_90,z_score,0.2838207193446202,0.9387179807492068,4.0,0.9531797097192236
CB,obv_pass_90,robust_z_score,0.28382071934462005,0.938717980749205,4.0,0.9531797097192225
CB,obv_pass_90,percentile_rank,-1.724412148881291e-16,-1.2000000000000002,0.0,0.6000000000000003
CB,obv_pass_90,min_max,0.2838207193446201,0.938717980749205,4.0,0.9531797097192225
CB,obv_pass_90,log_transform,0.17285356546519143,0.8424023221853156,4.0,0.7940547265578493
CB,obv_pass_90,quantile_transform,6.190114101594981e-11,5.48724949742539,8.0,3.143624748774596
CB,obv_pass_90,winsorized_z_score,-0.20509132077034778,-0.2272480859145518,0.0,0.31871536372762366
CB,op_f3_passes_90,z_score,0.7578370332074509,0.40783192961781145,4.0,1.1617529980163566
CB,op_f3_passes_90,robust_z_score,0.7578370332074507,0.40783192961781056,4.0,1.161752998016356
