role,player_id,season_id,split_name,matches,minutes,split_score,split_score_std,date_method
WINGER,34952,318,second_half,0,0.0,,,match_date
WINGER,358748,318,full_season,1,79.433334,41.825405290148154,,match_date
WINGER,358748,318,first_half,1,79.433334,41.825405290148154,,match_date
WINGER,358748,318,second_half,0,0.0,,,match_date
WINGER,381935,318,full_season,2,146.45,,,match_date
WINGER,381935,318,first_half,1,81.25,,,match_date
WINGER,381935,318,second_half,1,65.2,,,match_date
WINGER,409131,318,full_season,1,72.13333,,,match_date
WINGER,409131,318,first_half,1,72.13333,,,match_date
WINGER,409131,318,second_half,0,0.0,,,match_date
WINGER,435547,318,full_season,1,32.066666,22.428798443782703,,match_date
WINGER,435547,318,first_half,1,32.066666,22.428798443782703,,match_date
WINGER,435547,318,second_half,0,0.0,,,match_date
WINGER,449373,318,full_season,1,112.46667,54.61957148854774,,match_date
WINGER,449373,318,first_half,1,112.46667,54.61957148854774,,match_date
WINGER,449373,318,second_half,0,0.0,,,match_date
WINGER,460266,318,full_season,1,96.36667,,,match_date
WINGER,460266,318,first_half,1,96.36667,,,match_date
WINGER,460266,318,second_half,0,0.0,,,match_date
WINGER,477555,318,full_season,1,18.8,,,match_date
WINGER,477555,318,first_half,1,18.8,,,match_date
WINGER,477555,318,second_half,0,0.0,,,match_date
WINGER,523312,318,full_season,1,29.416666,56.25504082721375,,match_date
WINGER,523312,318,first_half,1,29.416666,56.25504082721375,,match_date
WINGER,523312,318,second_half,0,0.0,,,match_date
WINGER,7550,318,full_season,2,146.0,68.70091212829017,,match_date
WINGER,7550,318,first_half,1,77.75,68.70091212829017,,match_date
WINGER,7550,318,second_half,1,68.25,,,match_date
