role,player_id,player_name,review_category,score,percentile,reason
WINGER,134249,Adam Ennaffati,bottom20,56.9622718337313,64.0,football_expert_review_required_not_quality_judgement
WINGER,460266,Youness Dahmani,bottom20,58.77359688234873,68.0,football_expert_review_required_not_quality_judgement
WINGER,132614,Walid Nassi Ouled Bentle,bottom20,59.37594465247182,72.0,football_expert_review_required_not_quality_judgement
WINGER,312935,Amine Azri,bottom20,59.57944401089387,76.0,football_expert_review_required_not_quality_judgement
WINGER,3302,Nordin Amrabat,bottom20,62.59629076286974,80.0,football_expert_review_required_not_quality_judgement
WINGER,179311,Imad Riahi,highest_percentile,72.77317529502041,100.0,football_expert_review_required_not_quality_judgement
WINGER,140874,Reda Slim,highest_percentile,71.75782020202398,96.0,football_expert_review_required_not_quality_judgement
WINGER,7550,Mounir Chouiar,highest_percentile,65.90224149512333,92.0,football_expert_review_required_not_quality_judgement
WINGER,138895,Abdelfattah Hadraf,highest_percentile,64.73935922674305,88.0,football_expert_review_required_not_quality_judgement
WINGER,139001,Youssef Anouar,highest_percentile,62.96902682472179,84.0,football_expert_review_required_not_quality_judgement
WINGER,16208,Arthur Kevin Yamga,lowest_percentile,29.197541447029952,4.0,football_expert_review_required_not_quality_judgement
WINGER,139568,Youssef Zghoudi,lowest_percentile,29.628530459458016,8.0,football_expert_review_required_not_quality_judgement
WINGER,358748,Abdellah Ait Brahim,lowest_percentile,29.68359706457852,12.0,football_expert_review_required_not_quality_judgement
WINGER,199611,Youssef Mehri,lowest_percentile,30.7204521559394,16.0,football_expert_review_required_not_quality_judgement
WINGER,275341,Yazid Faffa,lowest_percentile,30.833131349410536,20.0,football_expert_review_required_not_quality_judgement
WINGER,312935,Amine Azri,potential_anomaly_high_score_low_confidence,59.57944401089387,,high score with low confidence
CF,140886,Mustapha Sahd,top20,75.92856395929778,100.0,football_expert_review_required_not_quality_judgement
CF,453613,Baba Bello Ilou,top20,66.62200976391712,95.45454545454544,football_expert_review_required_not_quality_judgement
CF,138876,Hamza Khaba,top20,66.47425015492958,90.9090909090909,football_expert_review_required_not_quality_judgement
CF,3319,Yacine Bammou,top20,61.068254516203794,86.36363636363636,football_expert_review_required_not_quality_judgement
CF,312936,Hamza Hannouri,top20,58.76054835869575,81.81818181818183,football_expert_review_required_not_quality_judgement
CF,335508,Paul Valère Bassène,top20,55.99167694236434,77.27272727272727,football_expert_review_required_not_quality_judgement
CF,524001,Nasreddine Moustaghfir,top20,53.378000469389896,72.72727272727273,football_expert_review_required_not_quality_judgement
CF,155705,Soufiane Benjdida,top20,52.75066400365881,68.18181818181817,football_expert_review_required_not_quality_judgement
CF,442295,Reda Abardi,top20,52.71189778852511,63.63636363636363,football_expert_review_required_not_quality_judgement
CF,155347,Ayoub Mouloua,top20,51.98861374325399,59.09090909090909,football_expert_review_required_not_quality_judgement
CF,140867,Ismail Khafi,top20,50.60785206930373,54.54545454545454,football_expert_review_required_not_quality_judgement
CF,143504,Oussama Lamlaoui,top20,49.86445433449164,50.0,football_expert_review_required_not_quality_judgement
CF,139566,Youssef Elfahli,top20,48.36876489868084,45.45454545454545,football_expert_review_required_not_quality_judgement
CF,409301,Jawad Ghabra,top20,47.78203037222179,40.909090909090914,football_expert_review_required_not_quality_judgement
CF,522342,Younes El Bahraoui,top20,39.821111100691645,36.36363636363637,football_expert_review_required_not_quality_judgement
CF,406860,Abdelaziz El Hamzaoui,top20,39.68066401505422,31.818181818181817,football_expert_review_required_not_quality_judgement
CF,38423,Siriki Sanogo,top20,38.49002372177697,27.27272727272727,football_expert_review_required_not_quality_judgement
CF,140887,Haytham El Bahja,top20,38.13800491088261,22.727272727272727,football_expert_review_required_not_quality_judgement
CF,477684,Brahim Amzili,top20,35.18343448628092,18.181818181818183,football_expert_review_required_not_quality_judgement
CF,503286,Mehdi Balouk,top20,29.398930048887927,13.636363636363637,football_expert_review_required_not_quality_judgement
CF,360406,Imad Khannouss,bottom20,20.9537940655467,4.545454545454546,football_expert_review_required_not_quality_judgement
CF,524392,Romuald Dacosta,bottom20,23.227557924552748,9.090909090909092,football_expert_review_required_not_quality_judgement
